Product Name,Variant Size,Price
Pink Butterfly Dress,0-3 months,1200
Pink Butterfly Dress,3-6 months,1200
Pink Butterfly Dress,6-12 months,1300
Pink Butterfly Dress,1-2 yrs,1400
Pink Butterfly Dress,2-3 yrs,1500
Pink Butterfly Dress,3-4 yrs,1600
Pink Butterfly Dress,4-5 yrs,1700
Pink Butterfly Dress,5-6 yrs,1800
Blue Princess Gown,1-2 yrs,2000
Blue Princess Gown,2-3 yrs,2100
Blue Princess Gown,3-4 yrs,2200
Blue Princess Gown,4-5 yrs,2300
Blue Princess Gown,5-6 yrs,2400
Blue Princess Gown,6-7 yrs,2500
Floral Summer Dress,6-12 months,1500
Floral Summer Dress,1-2 yrs,1600
Floral Summer Dress,2-3 yrs,1700
Floral Summer Dress,3-4 yrs,1800
Party Wear Lehenga,7-8 yrs,3500
Party Wear Lehenga,8-9 yrs,3600
Party Wear Lehenga,9-10 yrs,3700
Party Wear Lehenga,10-11 yrs,3800
Party Wear Lehenga,11-12 yrs,3900
Party Wear Lehenga,12-13 yrs,4000
Party Wear Lehenga,13-14 yrs,4100
Party Wear Lehenga,14-15 yrs,4200
Party Wear Lehenga,15-16 yrs,4300
